,count,percentage,EOA_count,EOA_percentage
erd13z85jtjx7el9mjjn9nhcx0pw4jnzmyn0s3uwch4l7t226xxv4vcsq5h22d,0,0.0,18,0.11104941699056081
erd1ht8klelyc253vglsx7eectp22687mtm5h7mplma2vjjasr5wdpqq9m3sug,10,0.06169412055031156,18,0.11104941699056081
erd1422hvugcxsl79ps9gecnfkfcssazxw7z76eg4tmc8h2kjq9e82xqgcv9z2,0,0.0,18,0.11104941699056081
erd16c02kglch5ujkxxwhelv5qmlm5d7cqkjy5hsnj4n90w0f5y8u28sh9mdwp,18,0.11104941699056081,18,0.11104941699056081
erd1dvukxslnen4g233f3t69num4fw8fklv5d8thmnumsffxgt2kdf9sh6wuud,0,0.0,18,0.11104941699056081
erd1pam2x6vc7m6p5p83nyqyrtd7dqvxf983pnqq2r64wdzu090a82ksx58me9,0,0.0,17,0.10488000493552964
erd1dauag22s3apmvn355ccv6a2unhjdsajk873n9enc2wemp334mjvs7aw2tz,0,0.0,17,0.10488000493552964
erd1l3d96qwpga447fhcmyhqnzsvzcj68e68x8gleq6lnlj8hc3ef4nqmagh8r,17,0.10488000493552964,17,0.10488000493552964
erd1h0g85x0a965sj04zqe46hgc54wx6vnv8s0xjwcwstgp43hm65hcq8al64r,5,0.03084706027515578,17,0.10488000493552964
erd1f9lct6g5ugthspah5f9hz3qd8n0amzn2hl9swr4fwkuckl3evk3sd0sws0,0,0.0,17,0.10488000493552964
erd1ume4mhe3utn3dfq7gsrp4v4m2frhwcfvdhrenywls3dqnv3m9tdsrmya64,11,0.06786353260534271,17,0.10488000493552964
erd1zm4s8rhgs74cqmy9m0tzn4ms6077pc7w6akfgrt7e80va6ap8yvsup7qn8,11,0.06786353260534271,17,0.10488000493552964
erd15k8ukytmdjyys2jrd8qkve0mgywj233c7r58h7pj82k73m94cvgsxdah89,1,0.006169412055031155,17,0.10488000493552964
