,count,percentage
erd1t6ryh5x4hjqf5tgh0dguemyz8rd93d34rle7mpp5gzevqjjt79eswg6jv9,10,0.06169412055031156
erd1at3pqdv3jjk9el2v0um7hhazljmu8jgfc8ckcs2dsz99xxl92kesu0v3e9,10,0.06169412055031156
erd1qmm3uzhqwgqgdt0uqn8d6zwfu3apje72g8zu3hkq2lcep403094qy4hly2,10,0.06169412055031156
erd14gwna27afn2mspet7sgajqwsrsanvw9yvawuylazvuvxfz0v4spqw5m8dg,10,0.06169412055031156
erd1tfcz2gy29fvdne2f3na2sasla7rlmtyxkvrk0wkszcam02kspkrqgxjsfa,10,0.06169412055031156
erd1p4dah9chd960dcl07dzr3tl3320vgmazhxheyye8w5cjg8jl6ufsh9p4s2,10,0.06169412055031156
erd1zqh6sd3wqv68tyjhuet0p2uhuhh9lhkaknc57ysjzma6asswvmpse3cmvj,10,0.06169412055031156
erd1c5y99lw007w6me2fyk6xd8dex4ykeka3sn5p4zy48sxdrfjhdd7smwvkth,10,0.06169412055031156
erd1ywtzg2llsa0vqdcm0khwcul4epmkeezwsx6p3ez5k3rdj64q4ngqsztzvu,10,0.06169412055031156
erd1wawkj3myzc2y4jxeg2ec5srryscr9pm9hgzv3p8wuzxvudxf34as49j8vc,10,0.06169412055031156
erd18mfnt9ylg9u34q42c7820u2s8jv93th8nl86n0maw5wf067xt4pq037pf2,10,0.06169412055031156
erd1fep7x7cr7hcdzuprgjgfu76ftmsg74w7a2ghs5ud8eyj2fnpvhmq54rcal,10,0.06169412055031156
erd1skavsf6l4yguphhhw2y5m8u0fy6q7pcgzslmnv8ply8g8chygj6qq75ur4,10,0.06169412055031156
erd1ehtxfsvc50ye6hyenx236xa27lpjcmr8e5auh3zxfjal63nem76sjd939r,10,0.06169412055031156
erd1yuxkvzgphfxlwg6hnd9qztt4fsx8609ry84ch7kvggc04pux5e4qxyxc9p,10,0.06169412055031156
erd1kmmnlu2s6jdq4nma6fqyssrjclfdvjw5q0n8u0my0vlkvzd08wrslha4v7,10,0.06169412055031156
erd1fpym8uwfdedfyel0mp34dulvxpz7ujvfe897263uvepfpew2mcsqglzf8d,10,0.06169412055031156
erd184zk0rylsrxrxrgfdeqs0xufvparge22ftt6u3cnp0h0qtjxsp9s8k85z2,10,0.06169412055031156
erd1u2hdr3s49jxy8anas4kz6pudrcmt0wzjv0ya3rtyydx2578zrntqn4hh6p,10,0.06169412055031156
erd1ucplv637lt4l7w9zw7esxydlatruqle8ajwqdev2kksfsgny2naqcpfrg5,10,0.06169412055031156
